IDENTIFIER,probID,GSM152856,GSM152857,GSM152858,GSM152859,GSM152860,GSM152861,GSM152862,GSM152863,GSM152864,GSM152865,GSM152866,GSM152867,GSM152868,GSM152869,GSM152870,GSM152871,GSM152872,GSM152873,GSM152874,GSM152875,GSM152876,GSM152877,GSM152878,GSM152879,GSM152880
CFHR2,36341_s_at,5.419684664,4.941919044,6.694377099,3.704881752,2.095191275,4.978941163,4.047381665,2.473874012,4.761503487,5.014779124,3.282204938,3.884422589,2.187906998,3.848494354,3.457700733,4.797503696,4.976224269,4.508890731,5.31596284,1.606365815,1.926066545,5.429242533,5.307185533,1.018529368,2.840532178
CFHR2,36342_r_at,1.26212719,5.1206122,5.092271534,5.584147761,2.452807078,0.636315176,3.030062208,0.636315176,4.563490193,2.21048198,5.278412314,2.543868772,4.0827746,4.766658263,3.833546282,4.812019139,5.002814332,2.46324887,5.620736258,1.035050169,-0.123208917,5.605162195,2.191612234,2.512331673,2.340744602
TLL2,36343_at,4.465812194,4.460807696,5.755954012,4.766658263,4.60943846,4.791842213,4.588649792,4.57559427,5.041249251,3.093399154,2.685809247,2.82812107,4.510650178,3.658130561,4.793727096,4.859966133,6.674204217,5.08861031,2.855771187,5.091401881,3.611546009,3.968353849,2.107743209,3.260963705,4.565966459
F2RL1,36344_at,5.517223487,6.017751276,5.391996115,8.448873927,5.616123528,5.524289239,5.541450474,6.553276722,4.777166931,4.724275331,7.102806209,5.506367757,6.023431583,6.539141833,6.143766444,6.560364064,5.440769209,6.66034427,6.481595468,5.09959247,4.984401213,6.81929042,4.204410742,5.593117803,5.573293675
F2RL1,36345_g_at,7.260568655,5.489195997,6.635417653,7.279266594,7.080303416,6.132369083,5.841819707,3.764588552,6.72996791,6.741579664,6.991264345,6.727657656,7.078753779,6.784476381,7.518654125,6.850595594,6.280087554,7.073466112,6.655958609,6.774092971,6.633544226,5.449895253,6.995480052,6.863149521,7.246715895
RGR,36346_at,3.199244165,4.348555246,4.120605102,4.805029916,4.735317659,4.495289282,4.793831074,3.820402917,4.603310518,3.888678596,3.693737252,3.962515604,4.598761633,4.656988382,4.152780203,3.235656331,4.183566489,4.301781225,3.622069131,3.642823155,3.187922318,3.244967784,2.655741329,3.889629153,3.993003798
HIST1H2BN,36347_f_at,9.712474115,6.813108237,9.09927108,6.829672451,9.256216703,10.28904386,8.843390582,8.608532102,9.439569785,8.893414846,7.364955688,10.44358516,11.22690671,10.8993756,9.733308939,9.907952433,8.346808574,8.254784554,9.095863749,6.966360449,7.37121976,7.232051905,8.105448446,7.951580789,8.501905745
HIST1H2BN,36348_r_at,4.787976091,1.321237169,3.205162837,3.314904628,4.776749803,0.832360837,2.338155895,2.66503867,2.314810228,4.005298662,0.827313242,2.795275573,3.279656204,1.430061803,3.419145468,1.051598136,2.847648863,2.313806589,2.090523302,2.79402625,0.881499029,2.887084965,3.63411859,0.636315176,3.984684508
KCNJ2,36349_at,6.694377099,3.834819727,3.826087318,5.664725651,5.665818074,4.920465317,4.062544415,4.802761989,6.297729949,6.199841762,4.432359349,5.255957868,5.731587388,4.006231279,6.298453801,5.698867249,5.135223,5.463264699,4.19856198,4.766237939,3.450975456,6.180049243,5.433254129,6.387368873,4.134144828
FAM105A,36350_at,5.936834992,4.423862919,3.007658176,5.538283216,5.240468931,4.814158712,4.561624043,4.118529618,3.386485,3.16069342,6.58767644,2.936001603,2.985237899,4.998056597,2.672422167,4.483033071,2.369211564,6.699199479,6.040270249,3.892128011,5.669370613,3.709163322,6.896343988,6.332166602,5.693243466
KAZALD1,36351_at,2.75421046,4.758560657,4.06401788,4.152571871,5.039549006,3.935562681,3.869414224,3.820402917,4.327286553,4.443733721,3.760181929,5.858660058,3.983489366,3.995301722,5.201106132,3.876811879,5.008584748,4.489587202,3.590450241,4.05110812,4.02812871,3.835206582,5.002157048,4.045177345,3.408545862
HES2,36352_at,5.049779651,4.483380276,7.435583235,6.751108295,7.619776877,5.28380076,6.16069092,4.270288563,4.081372599,5.074721495,7.15754584,4.524223083,4.44851109,5.9131212,4.698650538,6.855636516,7.203445194,4.055728253,7.719713034,4.89987254,4.222959401,4.705692173,6.41164393,4.957561811,5.772805131
HES2,36353_at,3.934194961,3.200927958,3.205162837,4.819949326,3.523334174,2.782997937,3.45145136,3.646688304,3.322576772,3.483473942,2.494613771,5.293259159,2.985237899,3.048238929,3.169389638,2.756871927,4.540414786,5.556383503,2.462549372,3.885851508,3.741193468,6.223909781,3.972017464,3.769598695,2.840532178
TNN,36354_at,5.800928258,6.806924809,3.691314757,5.383784083,5.932621228,5.012264765,6.40994584,5.552234448,6.56364897,4.825119523,5.483549229,4.674428725,6.087236471,5.130712362,5.970915564,5.955600468,7.087236472,6.746178817,5.569889096,5.542710785,4.537995405,5.327926025,4.854232086,5.248751346,7.135412585
IVL,36355_at,6.134096886,6.871093795,7.511462595,8.662352731,6.966732487,6.961654142,7.51592579,6.880542974,6.752243794,6.791544288,7.417457535,6.74476291,5.768802753,6.835862366,6.718506298,6.944556424,7.684363652,6.087690883,6.681075391,5.111837299,6.102650771,7.302501638,6.638231021,6.896467521,7.216934471
GDF5,36356_at,5.31500342,4.277174264,4.911867472,4.986464456,4.955306177,7.403353403,4.459501675,5.08861031,7.318707075,7.639358849,5.078180476,7.670863485,7.874090742,5.971797426,4.740002393,4.090372483,4.936984679,5.513841677,4.905280761,4.661822838,5.155760893,3.709163322,5.7475276,4.774992737,5.301347634
ERI2,36357_at,5.325848154,4.891970062,6.59164616,6.337532373,4.753144734,3.90877472,6.756133456,2.343689909,3.812051801,1.792620006,6.495155809,3.150594837,4.92962201,4.57296763,3.083441334,5.81713321,4.886192318,4.396699385,5.92634927,4.834260061,3.437102529,4.060027275,6.468689184,4.274933337,3.487008237
RPL9,36358_at,11.92177334,11.7919559,11.66455072,9.134053082,12.1238438,11.39140325,11.53897377,11.76953753,11.51417179,11.07748014,10.06437903,12.09262045,11.52204765,11.95250443,12.17320398,11.65762824,11.73692568,11.32066814,11.21466158,10.40948515,11.31588942,10.51604462,11.51417179,11.3334784,11.57668534
PRKACG,36359_at,6.950369275,7.224175746,7.67150424,9.054223192,7.4328736,8.15776481,8.039962308,7.386717172,7.83852696,8.05460676,8.636597213,6.918352593,7.282292078,6.915385316,8.323134954,6.883549089,7.431007478,7.687002265,5.807061301,7.218801197,5.8584177,6.967479239,6.746446326,6.926362417,7.39258744
RRP15,36360_at,4.872302025,4.73567954,2.398675581,2.021799171,4.793440928,2.461736533,5.561132154,2.621580897,3.557045029,1.967569873,5.81128553,4.620295619,5.220140604,5.477924729,5.551930354,3.968353849,5.987335513,5.866890224,3.181761503,2.831868917,4.891308102,1.840549069,4.954512293,4.310828226,2.543868772
CDK5R2,36361_at,6.333542605,5.535037092,6.434092659,5.908526559,5.953700828,6.163960698,6.912856113,6.385370273,6.540131058,6.399054241,6.015467444,5.832212908,7.176001936,6.517551222,7.404917738,6.787454323,5.044765121,5.949157134,6.694777747,4.021025601,6.807699704,6.861648398,6.097079595,5.777828043,6.919601734
SLC12A3,36362_at,3.673328801,5.185139869,4.070850935,7.61073267,2.256282522,4.647843679,3.804524431,5.66729167,5.891470856,5.155016755,6.299408458,5.34566549,5.445900297,5.019869197,4.326680278,5.862708884,5.869465596,6.406918367,5.369196886,6.298187008,3.349941522,4.801615266,5.437231895,4.945274275,5.630050071
UGT8,36363_at,4.323284992,4.817398286,5.90746232,7.868731501,7.127404523,2.34228086,6.660944743,5.604927253,5.114834521,2.275802191,3.545124262,3.107288949,3.802301444,5.672930875,6.893942989,6.054138338,7.276200757,3.713066051,3.355711853,3.005394479,4.638734234,5.138267464,4.954512293,6.499290486,5.532734834
ABAT,36364_at,5.138803722,4.293872241,5.055685987,6.633429519,5.830887487,5.012264765,4.823764034,4.916068931,4.361105682,6.909618423,5.247043488,5.235608423,4.386824433,3.888867802,7.298306619,6.353560197,5.303670028,6.948485033,4.595037142,4.963340675,5.595219407,6.442220382,4.825033521,6.905845026,4.730305559
TRPC6,36365_at,4.573705791,2.737701836,3.174964332,3.525790796,5.199565137,5.147279646,5.344152732,2.343689909,0.654513742,2.159686842,3.178550144,2.502270446,2.549294964,4.09456005,2.691477887,4.812019139,2.098025401,2.433480319,6.028956743,3.035545943,3.521844742,4.897347154,2.628495044,2.071304374,1.746356686
B4GALT6,36366_at,2.91296485,4.010318975,2.135294867,3.682458548,5.501539161,6.286222294,0.665365493,3.566625434,2.10526185,1.629824689,3.431877075,0.751075345,5.083557425,1.327989201,2.460340766,2.7439842,1.513817122,4.459079444,3.658409345,5.473990091,2.913327797,3.178177831,1.700246997,2.752067877,5.055019473
PCDH11Y,36367_at,1.747087204,3.470987061,3.251612641,3.448869383,2.661601654,6.042764026,2.755676558,2.229254699,2.289467309,3.5484571,2.095191275,2.303908206,2.964325858,2.542575425,3.320042902,2.236182317,4.995816955,2.433480319,5.22159016,2.569310263,3.008929263,1.893868453,3.300197986,3.369688952,3.349691703
AF054998,36368_at,7.724905693,7.253208764,8.444438469,8.980170178,7.59909075,8.279906857,8.948444765,8.182518997,6.708188347,7.648314095,7.884138794,7.448461128,7.613809985,7.797629262,7.597717,7.851834984,8.465886003,7.910914168,5.535037092,7.404237087,7.061816979,7.305577972,7.53909359,7.925699566,8.204376786
PTRF,36369_at,5.31500342,7.525946309,3.570722072,4.41328317,6.144164642,2.362176729,6.310752698,5.7221419,3.282204938,5.998126943,6.065713674,3.58365338,3.091231253,6.422309506,6.392661508,4.231761409,6.12119003,3.579373331,5.12314224,4.217237561,6.219304224,6.026340645,5.876802629,4.648720398,5.940521297
FOXE1,36370_at,5.564662057,1.699147768,5.504475229,6.54483383,3.450975456,4.068343406,4.823764034,3.330496802,3.968353849,3.737073094,5.82439268,3.261250811,1.35464154,3.005394479,6.238267673,4.57429145,5.318327443,3.945473446,4.054527843,4.247278262,4.632799229,2.715083317,3.223476994,5.15829002,4.33438458
MFAP3,36371_at,6.058255913,4.130608647,5.391996115,6.730359485,6.56322069,5.97825092,6.866923659,3.809426621,5.630050071,5.269818993,6.557504174,6.256432383,5.880437118,6.132926425,6.061238943,5.72184982,6.189942047,5.550431014,3.837729885,6.835633748,5.305906591,6.755525818,6.568156238,5.91036219,6.107424457
HK3,36372_at,5.138803722,6.253885206,5.173491098,5.43708167,5.006635256,4.810649103,5.244665185,4.118529618,5.749570296,5.464197712,5.565541579,5.065360313,5.87350204,5.94493297,5.084317852,6.344549183,4.837733039,5.782066963,4.609123847,7.121669893,5.148910214,7.202035849,5.599916441,6.963948686,5.937437419
ZXDB,36373_at,4.138037497,5.224095806,4.175495316,6.993714437,6.588342686,6.861889059,7.550971298,5.924336456,6.065671826,6.512763792,5.021330653,4.229743411,4.209223112,5.523759838,6.505536187,6.425666142,4.526556545,4.125363721,5.521687068,6.110006212,6.063345604,4.598185345,4.135413146,6.243432065,5.775628561
U79293,36374_at,2.807959291,3.027500199,2.462549372,4.664377141,6.120375599,2.210072697,5.843517061,2.40564835,3.006220874,4.81169571,6.022257882,2.466018289,3.520829016,3.125831318,5.347541941,5.303138555,5.39166104,3.849239354,5.672036714,5.524608994,2.970053847,4.364125466,4.051906537,3.61496001,2.954508928
ODF1,36375_at,7.747708304,7.415945871,8.197974535,9.289445555,8.180008224,8.00355529,8.049399559,7.848809433,7.844695368,8.222639549,7.202972014,7.751156857,7.805506128,7.788045223,8.228620829,7.972684001,7.760434144,8.052636046,7.637186143,7.601710042,7.52375444,7.521772607,7.269282898,7.511967152,8.251442831
SLC26A4,36376_at,5.668175437,3.569157866,3.451927263,6.737608292,2.758067295,7.136083833,4.90964696,6.912363669,7.431007478,7.045556139,6.371152946,7.818707505,8.703069834,7.114152989,5.055185131,4.446455952,4.104901262,3.212622533,3.281667542,4.041489141,2.913327797,5.988621553,3.587438638,5.639198562,3.262825133
IL18R1,36377_at,6.280568937,5.573293675,4.196834939,6.166327138,4.993915243,3.90877472,4.109515721,6.385370273,5.967724594,6.698082832,6.275535232,4.955937454,3.926661629,4.070850935,3.786423792,3.520115234,6.556039234,3.50338798,6.214276102,5.276690417,6.656646127,4.63132605,3.90693957,4.516430994,5.356056843
UPK1A,36378_at,8.18306101,7.797889178,5.655091839,7.807488109,7.658901839,8.117810847,7.9443039,7.942421899,7.858809072,6.683164206,8.576060451,7.703570339,7.762462872,7.88068924,8.18306101,7.874315381,7.807488109,7.881749874,7.358434158,7.897187051,7.424855029,7.638863582,8.159227063,8.000730445,8.225492913
