IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
ONECUT1,33976_at,2.650587625,2.948358225,2.344430679,0.785767081,2.13270104,1.961937076,1.110706648,2.453294172,1.868848805,0.897415821,0.49503197,1.80230334,2.011488335,1.125684192,0.395685856,3.43942419,1.333022845,2.110219274
GFI1,33977_at,6.72160364,5.959479122,4.838565244,6.712600431,4.236657356,6.311114289,8.316930766,5.27927904,6.457198973,4.302606149,5.266332699,6.213685022,4.806028787,4.938404204,6.947112496,6.140950469,4.760157208,6.977807433
ABCB4,33978_at,3.002865599,4.883184606,2.728113093,1.712740554,3.548086983,3.471119636,5.997481699,3.237029169,3.149099467,4.092857711,3.455925942,2.277160083,2.739103628,5.459254944,1.768370173,2.615645153,2.885438909,3.057039281
RNASE3,33979_at,5.633219081,6.010390241,4.48089366,3.788320881,5.727145986,5.587522241,6.741254888,6.744379344,5.554666655,4.364727714,4.227002739,5.570338173,3.608626706,1.687978358,2.274428392,5.093858729,5.302687236,4.227236412
PFKFB1,33980_at,2.416684317,2.890350691,3.354140766,5.215900622,5.985398627,4.284373509,4.416276225,1.963842273,4.799145745,4.807875909,2.13270104,4.891731699,5.694737631,5.735122947,4.678766238,6.851948343,6.556379653,5.172643835
IL4,33981_at,3.18339043,3.147734449,1.851479109,2.278617511,2.316841082,3.400679802,4.277671621,3.498679816,1.868848805,3.431211677,1.604411153,2.701253484,3.00151209,2.383209757,3.715965629,3.608948594,2.218963331,3.156914906
ZNF43,33982_f_at,5.41487804,5.997104655,6.965571898,6.200628102,6.485013318,6.403214422,5.8780803,6.804368961,6.697583789,6.34937032,6.82890259,6.462971132,7.208360167,6.518553552,5.798901919,6.968425457,6.809923231,6.878283468
CD101,33983_at,2.905298848,4.990168878,3.200559721,3.049121424,3.150070991,2.777219514,3.646200648,4.781783386,3.552703215,3.618312988,2.874082024,2.968408726,3.848867606,3.635068328,4.130023083,2.931732459,4.932595603,2.991644066
HSP90AB1,33984_at,12.26143563,11.40193314,11.98793664,11.7080327,12.05971214,11.80768252,12.2814519,11.52281937,12.25301984,11.90420558,11.97054279,12.1628233,11.97054279,12.34566359,11.63891125,11.78307724,11.80768252,11.98793664
HSP90AB1,33985_s_at,5.710482891,6.449285752,7.402318108,6.363391654,7.997747227,6.839830904,8.55098516,7.762675429,7.583022312,7.059138303,7.71497688,7.385406937,7.090152688,7.732330876,6.928329231,7.181828741,7.460588789,6.784622959
HSP90AB1,33986_r_at,5.421553922,6.419437843,7.435799672,6.209906877,7.307737623,6.866571891,7.952478568,6.056430464,7.399959871,7.180999678,7.798621392,7.1546076,6.873930267,8.140713676,6.956471022,7.119816294,6.937804988,5.917484812
ARF1,33987_at,10.49164952,10.2617783,9.75540812,11.33740901,10.21132545,11.33235186,9.386050738,9.796711447,11.26072712,10.56526308,10.67399232,11.22339492,10.21132545,9.933782404,9.960123504,10.25856192,10.11124733,10.44688119
TMBIM6,33988_at,11.01267736,9.740551192,10.53184149,10.95385461,9.742253614,11.51474495,9.268753424,9.896133694,11.53257571,11.10493572,11.84218358,11.61852905,11.18204884,9.935695958,10.32594011,11.03696784,10.89794706,11.58006421
TMBIM6,33989_f_at,10.08848157,9.255991154,9.205742189,10.74218424,9.170065561,10.54792444,8.994418666,9.475563258,11.21155842,10.60485583,11.09755545,10.23570247,9.258038378,9.511672229,9.09640435,9.579021976,10.07404648,10.88814468
ALB,33990_at,5.123116837,2.299122334,1.53842812,4.100221593,4.230574349,4.345554593,5.748092163,4.345950395,4.137907469,4.845687609,3.502551726,3.741062526,3.978808026,2.579526648,1.876477639,3.367322432,4.354490823,3.687859371
ALB,33991_g_at,2.487233613,4.876694974,4.818550572,3.209289135,5.426277749,4.81633432,5.143246503,2.214401077,5.189616042,3.110500255,2.706006193,3.457101238,1.330210285,5.468106849,3.486284403,4.486966404,3.490998119,1.937692621
ALB,33992_at,1.872303856,3.054719026,5.031066238,2.536379947,2.090063532,5.317964902,2.763503231,2.824210179,2.409540524,2.237388764,2.544224545,3.40217823,2.324009536,2.398838385,2.169855345,2.544224545,2.468821573,1.766499818
MYL6,33993_at,7.716770194,8.505027798,9.208280882,8.155790152,8.730478954,6.007033591,7.313457156,8.802038058,6.346897489,8.398027611,6.206178795,8.030083116,8.441466579,8.775488053,8.773841183,7.767579848,8.723028711,8.703720304
MYL6B,33994_g_at,13.52660267,13.993779,14.16490889,13.29920025,13.18765676,13.22786004,13.75235217,13.80155824,13.42517814,13.18765676,13.50486487,13.60162353,13.85450761,13.07819373,13.90469966,13.80155824,13.67969249,13.62097389
GUCA2A,33995_at,3.837697328,4.06485633,3.766398457,3.552340544,4.449606796,3.818577598,4.064441729,3.992052596,3.823308186,3.516817514,3.572352058,3.597973565,3.776058119,3.715965629,4.233346191,3.910491265,4.270978435,3.954156367
NMBR,33996_at,2.699406776,2.862652146,4.434491708,3.170676226,1.996879506,1.389780095,3.890998109,3.940546292,3.216602784,1.773633114,1.033354149,5.373980493,1.878496951,5.307254321,2.205466283,2.230437806,3.303965564,1.669139224
GAB1,33997_at,5.674170493,6.039344473,6.126245428,5.408726112,5.528986155,4.747604509,5.274883911,4.001213317,5.318169566,4.733023721,5.290183075,6.548958487,6.00207555,6.506065522,5.828419695,4.670877159,6.360092146,5.050784026
